"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,FALSE
"5",36.58,120,0.09,10,0.241636363636364,TRUE
"6",95.67,120,0.91,10,0.778818181818182,TRUE
"7",36.34,120,0.28,10,0.239454545454545,TRUE
"8",52.96,120,0.51,10,0.390545454545455,FALSE
"9",90.15,120,0.94,10,0.728636363636364,FALSE
"10",20.44,120,0.09,10,0.0949090909090909,TRUE
"11",75.22,120,0.69,10,0.592909090909091,TRUE
"12",24.44,120,0.21,10,0.131272727272727,FALSE
"13",97.87,120,0.95,10,0.798818181818182,TRUE
