"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,FALSE
"7",90.58,120,0.94,10,0.732545454545454,FALSE
"8",30.08,120,0.19,10,0.182545454545455,TRUE
"9",99.25,120,0.93,10,0.811363636363636,FALSE
"10",20.42,120,0.07,10,0.0947272727272727,TRUE
"11",106.87,120,0.94,10,0.880636363636364,FALSE
