"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,FALSE
"4",58.53,120,0.26,10,0.441181818181818,FALSE
"5",92.5,120,0.9,10,0.75,FALSE
"6",91.41,120,0.56,10,0.740090909090909,FALSE
"7",41.09,120,0.07,10,0.282636363636364,TRUE
"8",86.07,120,0.38,10,0.691545454545454,TRUE
"9",107.47,120,0.91,10,0.886090909090909,FALSE
"10",28.16,120,0.06,10,0.165090909090909,TRUE
"11",106.91,120,0.71,10,0.881,TRUE
"12",83.06,120,0.41,10,0.664181818181818,TRUE
"13",27.23,120,0.08,10,0.156636363636364,FALSE
"14",110.46,120,0.86,10,0.913272727272727,TRUE
