"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,FALSE
"4",58.53,120,0.26,10,0.441181818181818,TRUE
"5",93.42,120,0.91,10,0.758363636363636,TRUE
"6",34.96,120,0.07,10,0.226909090909091,TRUE
"7",83.06,120,0.93,10,0.664181818181818,FALSE
"8",37.3,120,0.17,10,0.248181818181818,TRUE
"9",23.53,120,0.07,10,0.123,TRUE
"10",81.27,120,0.7,10,0.647909090909091,TRUE
"11",91.01,120,0.94,10,0.736454545454545,FALSE
"12",48.16,120,0.29,10,0.346909090909091,TRUE
