"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,FALSE
"6",90.47,120,0.94,10,0.731545454545454,TRUE
"7",48.48,120,0.07,10,0.349818181818182,TRUE
"8",54.96,120,0.56,10,0.408727272727273,TRUE
"9",77.57,120,0.93,10,0.614272727272727,FALSE
"10",64.91,120,0.77,10,0.499181818181818,TRUE
"11",41.86,120,0.07,10,0.289636363636364,TRUE
"12",46.11,120,0.45,10,0.328272727272727,TRUE
