"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,TRUE
"2",42.62,120,0.93,10,0.296545454545455,FALSE
"3",37.5,120,0.1,10,0.25,TRUE
"4",37.5,120,0.5,10,0.25,TRUE
"5",40.85,120,0.74,10,0.280454545454545,FALSE
"6",60.65,120,0.94,10,0.460454545454545,FALSE
"7",22.62,120,0.1,10,0.114727272727273,TRUE
"8",38.32,120,0.62,10,0.257454545454545,TRUE
"9",21.6,120,0.34,10,0.105454545454545,FALSE
"10",67.49,120,0.94,10,0.522636363636364,FALSE
"11",16.67,120,0.07,10,0.0606363636363637,FALSE
