"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,TRUE
"7",88.91,120,0.93,10,0.717363636363636,FALSE
"8",43.93,120,0.62,10,0.308454545454545,FALSE
"9",22.53,120,0.09,10,0.113909090909091,FALSE
"10",97.44,120,0.92,10,0.794909090909091,TRUE
"11",66.36,120,0.76,10,0.512363636363636,FALSE
"12",27.38,120,0.07,10,0.158,TRUE
"13",99.28,120,0.95,10,0.811636363636364,FALSE
