"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,FALSE
"3",87.38,120,0.07,10,0.703454545454545,TRUE
"4",92.5,120,0.9,10,0.75,FALSE
"5",92.5,120,0.5,10,0.75,FALSE
"6",89.15,120,0.26,10,0.719545454545455,TRUE
"7",69.35,120,0.06,10,0.539545454545454,TRUE
"8",107.38,120,0.9,10,0.885272727272727,FALSE
"9",91.68,120,0.38,10,0.742545454545455,TRUE
"10",108.2,120,0.75,10,0.892727272727273,FALSE
"11",76.65,120,0.22,10,0.605909090909091,TRUE
"12",63.47,120,0.06,10,0.486090909090909,TRUE
