"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,FALSE
"7",90.58,120,0.94,10,0.732545454545454,TRUE
"8",34.76,120,0.24,10,0.225090909090909,FALSE
"9",54.68,120,0.56,10,0.406181818181818,TRUE
"10",77.68,120,0.93,10,0.615272727272727,TRUE
"11",24.91,120,0.06,10,0.135545454545455,FALSE
"12",57.75,120,0.72,10,0.434090909090909,TRUE
"13",45.53,120,0.49,10,0.323,TRUE
