"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,FALSE
"7",90.58,120,0.94,10,0.732545454545454,TRUE
"8",34.76,120,0.24,10,0.225090909090909,TRUE
"9",22.44,120,0.09,10,0.113090909090909,TRUE
"10",77.73,120,0.93,10,0.615727272727273,TRUE
"11",57.55,120,0.65,10,0.432272727272727,TRUE
"12",31.23,120,0.28,10,0.193,TRUE
"13",62.53,120,0.79,10,0.477545454545455,TRUE
"14",77.93,120,0.95,10,0.617545454545455,FALSE
