"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,FALSE
"3",87.38,120,0.07,10,0.703454545454545,TRUE
"4",92.5,120,0.9,10,0.75,FALSE
"5",92.5,120,0.5,10,0.75,TRUE
"6",95.74,120,0.74,10,0.779454545454545,FALSE
"7",73.79,120,0.07,10,0.579909090909091,TRUE
"8",107.77,120,0.91,10,0.888818181818182,TRUE
"9",78.17,120,0.29,10,0.619727272727273,TRUE
"10",64.9,120,0.06,10,0.499090909090909,TRUE
"11",86.61,120,0.51,10,0.696454545454545,TRUE
