"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,FALSE
"5",36.58,120,0.09,10,0.241636363636364,TRUE
"6",95.67,120,0.91,10,0.778818181818182,TRUE
"7",36.34,120,0.28,10,0.239454545454545,TRUE
"8",52.96,120,0.51,10,0.390545454545455,TRUE
"9",21.51,120,0.09,10,0.104636363636364,TRUE
"10",91.23,120,0.94,10,0.738454545454545,FALSE
"11",29.89,120,0.31,10,0.180818181818182,TRUE
"12",61.59,120,0.62,10,0.469,TRUE
"13",16.13,120,0.1,10,0.0557272727272727,TRUE
