"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,FALSE
"4",58.53,120,0.26,10,0.441181818181818,TRUE
"5",93.42,120,0.91,10,0.758363636363636,FALSE
"6",34.33,120,0.09,10,0.221181818181818,TRUE
"7",94.19,120,0.7,10,0.765363636363636,FALSE
"8",54.56,120,0.34,10,0.405090909090909,TRUE
"9",26.04,120,0.15,10,0.145818181818182,TRUE
"10",42.66,120,0.32,10,0.296909090909091,TRUE
"11",17.34,120,0.09,10,0.0667272727272727,TRUE
"12",113.68,120,0.91,10,0.942545454545455,FALSE
