"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,TRUE
"7",88.91,120,0.93,10,0.717363636363636,TRUE
"8",46.38,120,0.66,10,0.330727272727273,TRUE
"9",23.2,120,0.1,10,0.12,TRUE
"10",25.1,120,0.43,10,0.137272727272727,FALSE
"11",81.23,120,0.94,10,0.647545454545455,FALSE
"12",19.21,120,0.19,10,0.0837272727272727,FALSE
