"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,FALSE
"7",90.58,120,0.94,10,0.732545454545454,TRUE
"8",34.76,120,0.24,10,0.225090909090909,FALSE
"9",54.68,120,0.56,10,0.406181818181818,FALSE
"10",77.63,120,0.93,10,0.614818181818182,TRUE
"11",24.62,120,0.06,10,0.132909090909091,FALSE
"12",49.02,120,0.34,10,0.354727272727273,TRUE
"13",67.56,120,0.8,10,0.523272727272727,FALSE
"14",31.03,120,0.07,10,0.191181818181818,TRUE
