"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,FALSE
"4",58.53,120,0.26,10,0.441181818181818,TRUE
"5",93.42,120,0.91,10,0.758363636363636,FALSE
"6",34.33,120,0.09,10,0.221181818181818,TRUE
"7",94.19,120,0.7,10,0.765363636363636,TRUE
"8",49.4,120,0.3,10,0.358181818181818,TRUE
"9",101.59,120,0.87,10,0.832636363636364,TRUE
"10",23.12,120,0.07,10,0.119272727272727,TRUE
"11",103.85,120,0.94,10,0.853181818181818,TRUE
"12",86.58,120,0.72,10,0.696181818181818,FALSE
"13",30.9,120,0.19,10,0.19,TRUE
